"FID","Shape *","OBJECTID_1","id","ID_FIETS","X","Y","OBJECTID","tblalgemen","IDfietsens","MCSCode","MCSCodefie","MCSCodef_1","tblintermo","Positie","Betalend","Toegangsco","Afgesloten","Typevanafs","Eigenaarte","Eigenaarde","Kleinewege","Exploitant","Exploita_1","Infrastruc","specandere","Infrastr_1","specande_1","Infrastr_2","Infrastr_3","specande_2","Infrastr_4","Infrastr_5","specande_3","Bevestigin","Aantalplaa","Infrastr_6","Plaatsenfi","Plaatsen_1","Plaatsenba","Plaatsen_2","Plaatsenbr","Plaatsen_3","Plaatsenel","Plaatsen_4","Plaatsen_5","Plaatsen_6","Plaatsento","Plaatsen_7","Plaatsen_8","Camerabewa","voldoendev","beheerderv","weesfietse","opmerking","schattinga","Mogelijkhe","OpterreinN","Opterreind","Isernoodto","AantalInga","AantalUitg","Energiemet","Milieugeva","Branddetec","Anderetech","Aankondigi","Aankondi_1","Aankondi_2","Parkeerreg","Bordmettar","Signaletic","Signalet_1","Signalet_2","X_WGS84","Y_WGS84"
"34","Point","357","398","398","158120,561 m","189616,632 m","0","Mechelen","398","20250020524","0"," ","Fietsenstalling f1","F1 -  parking (kant CW)","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Overdekt"," ","Eigen overkapping"," ","0"," "," "," ","Type NMBS"," ","1","41","Goede staat","434","0","0","0","10","0","0","0","0","0","444","434","10","1","1","NMBS","0","Bezetting > 90 % en < 100 %","0","Ja en eenvoudig","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 59,550"" E","51° 1' 2,042"" N"
"35","Point","358","951","951","158024,945 m","189743,950 m","0","Mechelen","951","20250020524","0"," ","Fietsenstalling f2","F2 - bewaakte stalling in stationsgebouw","1","1","1","Gebouw","NMBS"," "," ","NMBS"," ","Lokaal in gebouw"," ","Andere","In gebouw","0"," "," "," ","Wielklemmen laag"," ","1","41","Goede staat","118","0","0","0","11","0","0","0","0","0","129","118","11","0","1","NMBS","0","Bezetting < 90 %","0","Moeilijk","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 54,655"" E","51° 1' 6,167"" N"
"36","Point","359","954","954","158070,982 m","189804,539 m","0","Mechelen","954","20250020524","0"," ","Fietsenstalling f7","F7 - thv busstation","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Open lucht"," ","Eigen overkapping"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","1","41"," ","136","492","0","0","0","0","0","0","0","0","628","628","0","-1","-1"," ","0","Bezetting > 100 %","0","Moeilijk","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 57,021"" E","51° 1' 8,125"" N"
"37","Point","360","954","954","158099,822 m","189840,258 m","0","Mechelen","954","20250020524","0"," ","Fietsenstalling f7","F7 - thv busstation","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Open lucht"," ","Eigen overkapping"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","1","41"," ","136","492","0","0","0","0","0","0","0","0","628","628","0","-1","-1"," ","0","Bezetting > 100 %","0","Moeilijk","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 58,504"" E","51° 1' 9,280"" N"
"38","Point","361","952","952","157906,146 m","189603,191 m","0","Mechelen","952","20250020524","0"," ","Fietsenstalling f5","F5 - onder de Postzegelbrug","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Overdekt"," ","Onder viaduct"," ","0"," "," "," ","Type NMBS"," ","1","41","Goede staat","1140","0","0","0","12","0","0","0","0","0","1152","1140","12","0","1","NMBS","0","Bezetting < 90 %","0","Ja en eenvoudig","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 48,549"" E","51° 1' 1,618"" N"
"39","Point","362","952","952","157888,684 m","189618,008 m","0","Mechelen","952","20250020524","0"," ","Fietsenstalling f5","F5 - onder de Postzegelbrug","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Overdekt"," ","Onder viaduct"," ","0"," "," "," ","Type NMBS"," ","1","41","Goede staat","1140","0","0","0","12","0","0","0","0","0","1152","1140","12","0","1","NMBS","0","Bezetting < 90 %","0","Ja en eenvoudig","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 47,654"" E","51° 1' 2,098"" N"
"40","Point","381","339","339","154413,000 m","209910,094 m","0","Antwerpen-berchem","339","20250041748","20250041744"," ","Fietsenstalling F1","F1 - fietsgebouw Posthoflei-88","0","0","1","Gebouw","NMBS"," "," ","Fietspunt","Levanto","Fietsgebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","0","0","Goede staat","2043","0","0","0","0","0","0","0","0","0","2043","2043","0","1","1","NMBS","0","Bezetting > 90 % en < 100 % \n01/2019: 88 plaatsen voor Blue Bike","0","Moeilijk","0","0","0","4","4","0","0","0","0","1","1","0","0","0","-1","-1","1","4° 25' 50,231"" E","51° 11' 58,855"" N"
"41","Point","384","848","848","154487,945 m","210058,348 m","0","Antwerpen-berchem","848","20250041748","0"," ","Fietsenstalling F2","F2 - Edgar Ryckaertsplein","0","0","0"," ","Stad/Gemeente"," ","Ja","Fietspunt"," ","Openlucht"," "," "," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","0","0"," ","0","1204","0","0","0","0","0","0","0","0","1204","1204","0","-1","1","Stadsnet","0","Bezetting > 100 %","0","Ja en gemiddeld","0","0","0","4","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 25' 54,098"" E","51° 12' 3,650"" N"
"42","Point","393","426","426","189654,323 m","223714,550 m","0","Turnhout","426","20290043912","0"," ","Fietsenstalling f1","F1 - op perron 1","0","0","0"," ","NMBS"," "," ","NMBS"," ","Open lucht"," "," "," ","0","Klinkers"," "," ","Type NMBS"," ","0","0","Goede staat","0","172","0","0","0","0","0","0","0","0","172","172","0","0","1","NMBS - Verlichting via het perron","0"," ","0","Moeilijk","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 10,648"" E","51° 19' 20,668"" N"
"43","Point","394","994","994","189711,763 m","223808,685 m","0","Turnhout","994","20290043912","0"," ","Fietsenstalling f3","F3 - Stationsstraat, voor goederenloods","0","0","0"," ","Stad/Gemeente"," "," ","Stad"," ","Open lucht"," "," "," ","0"," "," "," ","Wielklemmen laag"," ","0","0","Te controleren","0","50","0","0","0","0","0","0","0","0","50","50","0","0","1","Stadsnet","0","Bezetting < 90 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 13,651"" E","51° 19' 23,699"" N"
"44","Point","395","994","994","189645,342 m","223748,741 m","0","Turnhout","994","20290043912","0"," ","Fietsenstalling f3","F3 - Stationsstraat, voor goederenloods","0","0","0"," ","Stad/Gemeente"," "," ","Stad"," ","Open lucht"," "," "," ","0"," "," "," ","Wielklemmen laag"," ","0","0","Te controleren","0","50","0","0","0","0","0","0","0","0","50","50","0","0","1","Stadsnet","0","Bezetting < 90 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 10,198"" E","51° 19' 21,776"" N"
"45","Point","396","995","995","189660,709 m","223798,017 m","0","Turnhout","995","20290043912","20290043911"," ","Fietsenstalling f2","F2 - naast perron 2","0","0","0"," ","NMBS"," "," ","NMBS"," ","Openlucht"," ","Standaardtype 2"," ","0","Klinkers"," "," ","Type NMBS"," ","0","0","Goede staat","460","0","0","0","18","0","0","0","0","0","478","460","18","0","1","NMBS - Verlichting via het perron","0","Bezetting < 90 %","0","Ja en eenvoudig","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 11,011"" E","51° 19' 23,367"" N"
"46","Point","482","343","343","151477,179 m","209728,992 m","0","Antwerpen-zuid","343","20590004003","0"," ","Fietsenstalling f1","F1 - Singel","0","0","0"," ","Stad/Gemeente"," ","Nee","Stad/Gemeente"," ","Openlucht"," ","Geen"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","0","0","Tussenkomst nodig","0","168","0","0","0","0","0","0","0","0","168","168","0","0","1","Stadsnet","0","Bezetting > 90 % en < 100 %","0","Ja en eenvoudig","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","0"," ","4° 23' 19,027"" E","51° 11' 53,048"" N"
"47","Point","483","854","854","151523,574 m","209785,941 m","0","Antwerpen-zuid","854","20590004003","0"," ","Fietsenstalling f2","F2 - Kolonel Silvertoplaan","0","0","0"," ","Stad/Gemeente"," ","Nee","Stad/Gemeente"," ","Openlucht"," ","Golfplaten"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","0","0","Goede staat","44","0","0","0","0","0","0","0","0","0","44","44","0","0","1","Stadsnet","0","Bezetting < 90 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"," ","4° 23' 21,417"" E","51° 11' 54,891"" N"
"48","Point","513","996","996","189661,352 m","223725,149 m","0","Turnhout","996","20290043912","0"," ","Fietsenstalling f4","F4 - Bluebike","1","0","0"," ","NMBS"," "," ","Andere","Bluebike"," "," "," "," ","0"," "," "," "," "," ","0","0"," ","0","12","0","0","0","0","0","0","0","0","12","12","0","0","0"," ","0","Bezetting > 90 % en < 100 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 11,015"" E","51° 19' 21,009"" N"
"49","Point","518","372","372","217498,091 m","180475,123 m","0","Hasselt","372","20350056005","0"," ","Fietsenstalling F1","F1 - Stationplein","0","0","0"," ","NMBS"," ","Nee","Fietspunt"," ","Overdekt"," ","Luifel aan gebouw"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","0","0","Goede staat","60","0","0","0","0","0","0","0","0","0","60","60","0","0","1","Gemengde verlichting","0"," ","0","Moeilijk","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0"," ","5° 19' 39,464"" E","50° 55' 52,305"" N"
"50","Point","519","895","895","217352,887 m","180404,767 m","0","Hasselt","895","20350056005","0"," ","Fietsenstalling F5","F5 - Spoorwegstraat","0","0","0"," ","NMBS"," "," ","Fietspunt"," ","Overdekt (luifel)"," ","Volle platen"," ","0","Klinkers"," "," ","Type NMBS"," ","0","0","Goede staat","244","0","0","0","33","0","0","0","0","0","277","244","33","0","-1"," ","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5° 19' 31,982"" E","50° 55' 50,089"" N"
"51","Point","520","893","893","217333,710 m","180619,017 m","0","Hasselt","893","20350056005","0"," ","Fietsenstalling F6","F6 - Monseigneur Broekxplein","0","0","0"," ","Stad/Gemeente"," "," ","Stad/Gemeente"," ","Openlucht"," "," "," ","0","Asfalt"," "," ","Andere","Mix van fietsenrekken","0","0","Goede staat","0","359","0","0","0","0","0","0","0","0","359","359","0","0","0"," ","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5° 19' 31,142"" E","50° 55' 57,029"" N"
"52","Point","521","892","892","217291,800 m","180412,387 m","0","Hasselt","892","20350056005","0"," ","Fietsenstalling F4","F4 - Spoorwegstraat","0","0","0"," ","NMBS"," ","Nee","Fietspunt"," ","Overdekt"," ","Standaardtype 1 (boog)","#ERROR!","0","Klinkers"," "," ","Type NMBS"," ","0","0","Goede staat","300","0","0","0","8","0","0","0","0","0","308","300","8","0","1","NMBS","0","Bezetting > 90 % en < 100 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5° 19' 28,860"" E","50° 55' 50,361"" N"
"53","Point","522","892","892","217266,527 m","180414,673 m","0","Hasselt","892","20350056005","0"," ","Fietsenstalling F4","F4 - Spoorwegstraat","0","0","0"," ","NMBS"," ","Nee","Fietspunt"," ","Overdekt"," ","Standaardtype 1 (boog)","#ERROR!","0","Klinkers"," "," ","Type NMBS"," ","0","0","Goede staat","300","0","0","0","8","0","0","0","0","0","308","300","8","0","1","NMBS","0","Bezetting > 90 % en < 100 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5° 19' 27,567"" E","50° 55' 50,445"" N"
"54","Point","528","93","93","103932,446 m","191945,045 m","0","Gent-Sint-Pieters","93","30503052283","0"," ","Fietsenstalling f1","Infopunt","0","0","0","NVT","NMBS"," ","Nee"," "," ","Open lucht"," "," "," ","0","Betonstraatstenen"," "," ","Andere","NMBS/dubbel verdiep","0","0","Goede staat","0","415","0","0","0","0","0","0","0","0","415","415","0","0","1","Eigen net","0","vroeger 412 plaatsen","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 38,611"" E","51° 2' 11,001"" N"
"55","Point","529","94","94","103750,273 m","191826,935 m","0","Gent-Sint-Pieters","94","30503052283","0"," ","Fietsenstalling f10","Kant Sint-Denijslaan/achterkant station","0","0","0","NVT","Stad/Gemeente"," ","Nee"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Andere","vloer/steenslag"," ","Andere","NMBS/dubbel verdiep","0","0","Goede staat","591","0","0","0","0","0","0","0","0","0","591","591","0","0","-1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 29,315"" E","51° 2' 7,126"" N"
"56","Point","534","851","851","153668,784 m","211428,172 m","0","Antwerpen-centraal","851","20250043819","0"," ","Fietsenstalling f2","F2 - Kievit","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Lokaal in gebouw","Parking gebouw","Ondergronds"," ","0","Beton"," "," ","Type NMBS"," ","0","0","Goede staat","485","0","0","0","0","0","0","0","0","0","485","485","0","1","1","NMBS","0","Bezetting < 90 %","0","Moeilijk","0","0","0","1","1","0","0","0","0","1","1","0","-1","0","1","0","1","4° 25' 11,958"" E","51° 12' 47,994"" N"
"57","Point","536","99","99","103919,470 m","192159,227 m","0","Gent-Sint-Pieters","99","30503052283","0"," ","Fietsenstalling f6","Smidsestraat","0","0","0","NVT","Stad/Gemeente"," ","Ja"," "," ","Open lucht"," "," "," ","0","Klinkers"," "," ","Andere","type stad","0","0","Goede staat","0","75","0","0","0","0","0","0","0","0","75","75","0","0","1","Stadsnet","0","vroeger 85 \nvoor  4/6/2018 45 plaatsen nu heeft stad 6 rekken van 5 pl bijgezet, dus +30 plaatsen","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 37,847"" E","51° 2' 17,927"" N"
"58","Point","537","99","99","103929,868 m","192159,751 m","0","Gent-Sint-Pieters","99","30503052283","0"," ","Fietsenstalling f6","Smidsestraat","0","0","0","NVT","Stad/Gemeente"," ","Ja"," "," ","Open lucht"," "," "," ","0","Klinkers"," "," ","Andere","type stad","0","0","Goede staat","0","75","0","0","0","0","0","0","0","0","75","75","0","0","1","Stadsnet","0","vroeger 85 \nvoor  4/6/2018 45 plaatsen nu heeft stad 6 rekken van 5 pl bijgezet, dus +30 plaatsen","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 38,381"" E","51° 2' 17,947"" N"
"59","Point","538","98","98","103764,998 m","192127,061 m","0","Gent-Sint-Pieters","98","30503052283","0"," ","Fietsenstalling f5","Koning Boudewijnstraat","0","0","0","NVT","Stad/Gemeente"," ","Ja"," "," ","Open lucht"," "," "," ","0","Betonstraatstenen"," "," ","Andere","type stad","0","0","Goede staat","0","110","0","0","0","0","0","0","0","0","110","110","0","0","1","Stadsnet","0","vroeger 105","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 29,934"" E","51° 2' 16,842"" N"
"60","Point","539","98","98","103772,853 m","192132,522 m","0","Gent-Sint-Pieters","98","30503052283","0"," ","Fietsenstalling f5","Koning Boudewijnstraat","0","0","0","NVT","Stad/Gemeente"," ","Ja"," "," ","Open lucht"," "," "," ","0","Betonstraatstenen"," "," ","Andere","type stad","0","0","Goede staat","0","110","0","0","0","0","0","0","0","0","110","110","0","0","1","Stadsnet","0","vroeger 105","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 30,335"" E","51° 2' 17,021"" N"
"61","Point","540","98","98","103768,065 m","192147,408 m","0","Gent-Sint-Pieters","98","30503052283","0"," ","Fietsenstalling f5","Koning Boudewijnstraat","0","0","0","NVT","Stad/Gemeente"," ","Ja"," "," ","Open lucht"," "," "," ","0","Betonstraatstenen"," "," ","Andere","type stad","0","0","Goede staat","0","110","0","0","0","0","0","0","0","0","110","110","0","0","1","Stadsnet","0","vroeger 105","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 30,082"" E","51° 2' 17,502"" N"
"62","Point","541","98","98","103757,593 m","192147,109 m","0","Gent-Sint-Pieters","98","30503052283","0"," ","Fietsenstalling f5","Koning Boudewijnstraat","0","0","0","NVT","Stad/Gemeente"," ","Ja"," "," ","Open lucht"," "," "," ","0","Betonstraatstenen"," "," ","Andere","type stad","0","0","Goede staat","0","110","0","0","0","0","0","0","0","0","110","110","0","0","1","Stadsnet","0","vroeger 105","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 29,545"" E","51° 2' 17,489"" N"
"63","Point","542","97","97","103549,411 m","192160,798 m","0","Gent-Sint-Pieters","97","30503052283","0"," ","Fietsenstalling f4","Koningin Fabiolalaan","0","0","0","NVT","NMBS"," ","Ja"," "," ","Open lucht"," "," "," ","0","Andere","betonstraatstenen/steenslag"," ","Andere","type NMBS/type stad","0","0","Goede staat","0","1116","0","0","0","0","0","0","0","0","1116","1116","0","0","1","Stadsnet","0","F4 op straat: 110 \nF4: seinhuis: 1006 \n(voeger getal 412)","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 42' 18,854"" E","51° 2' 17,872"" N"
"64","Point","543","95","95","103902,302 m","192023,040 m","0","Gent-Sint-Pieters","95","30503052283","0"," ","Fietsenstalling f2","Maria Hendrikaplein","0","0","0","NVT","NMBS","NMBS/Stad","Nee"," "," ","Open lucht"," "," "," ","0","Andere","Steenslag/kasseien/natuursteen"," ","Andere","type stad","0","0","Goede staat","0","475","0","0","0","0","0","0","0","0","475","475","0","0","-1","Stadsnet","0","F2 aan kant van de restaurants: 55 \nF2 maria hendrikaplein + toegang: 420 \nF2 wordt aangepast tegen wildparkeren. De beplanting wordt gewijzigd. 13/08/2018","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 37,028"" E","51° 2' 13,516"" N"
"65","Point","544","95","95","103916,061 m","192042,937 m","0","Gent-Sint-Pieters","95","30503052283","0"," ","Fietsenstalling f2","Maria Hendrikaplein","0","0","0","NVT","NMBS","NMBS/Stad","Nee"," "," ","Open lucht"," "," "," ","0","Andere","Steenslag/kasseien/natuursteen"," ","Andere","type stad","0","0","Goede staat","0","475","0","0","0","0","0","0","0","0","475","475","0","0","-1","Stadsnet","0","F2 aan kant van de restaurants: 55 \nF2 maria hendrikaplein + toegang: 420 \nF2 wordt aangepast tegen wildparkeren. De beplanting wordt gewijzigd. 13/08/2018","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 37,725"" E","51° 2' 14,163"" N"
"66","Point","545","95","95","103902,091 m","192066,855 m","0","Gent-Sint-Pieters","95","30503052283","0"," ","Fietsenstalling f2","Maria Hendrikaplein","0","0","0","NVT","NMBS","NMBS/Stad","Nee"," "," ","Open lucht"," "," "," ","0","Andere","Steenslag/kasseien/natuursteen"," ","Andere","type stad","0","0","Goede staat","0","475","0","0","0","0","0","0","0","0","475","475","0","0","-1","Stadsnet","0","F2 aan kant van de restaurants: 55 \nF2 maria hendrikaplein + toegang: 420 \nF2 wordt aangepast tegen wildparkeren. De beplanting wordt gewijzigd. 13/08/2018","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 36,997"" E","51° 2' 14,933"" N"
"67","Point","546","95","95","103871,187 m","192074,476 m","0","Gent-Sint-Pieters","95","30503052283","0"," ","Fietsenstalling f2","Maria Hendrikaplein","0","0","0","NVT","NMBS","NMBS/Stad","Nee"," "," ","Open lucht"," "," "," ","0","Andere","Steenslag/kasseien/natuursteen"," ","Andere","type stad","0","0","Goede staat","0","475","0","0","0","0","0","0","0","0","475","475","0","0","-1","Stadsnet","0","F2 aan kant van de restaurants: 55 \nF2 maria hendrikaplein + toegang: 420 \nF2 wordt aangepast tegen wildparkeren. De beplanting wordt gewijzigd. 13/08/2018","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 35,408"" E","51° 2' 15,171"" N"
"68","Point","547","95","95","103846,422 m","192062,199 m","0","Gent-Sint-Pieters","95","30503052283","0"," ","Fietsenstalling f2","Maria Hendrikaplein","0","0","0","NVT","NMBS","NMBS/Stad","Nee"," "," ","Open lucht"," "," "," ","0","Andere","Steenslag/kasseien/natuursteen"," ","Andere","type stad","0","0","Goede staat","0","475","0","0","0","0","0","0","0","0","475","475","0","0","-1","Stadsnet","0","F2 aan kant van de restaurants: 55 \nF2 maria hendrikaplein + toegang: 420 \nF2 wordt aangepast tegen wildparkeren. De beplanting wordt gewijzigd. 13/08/2018","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 42' 34,143"" E","51° 2' 14,767"" N"
