"FID","Shape *","OBJECTID_1","id","ID_FIETS","X","Y","OBJECTID","tblalgemen","IDfietsens","MCSCode","MCSCodefie","MCSCodef_1","tblintermo","Positie","Betalend","Toegangsco","Afgesloten","Typevanafs","Eigenaarte","Eigenaarde","Kleinewege","Exploitant","Exploita_1","Infrastruc","specandere","Infrastr_1","specande_1","Infrastr_2","Infrastr_3","specande_2","Infrastr_4","Infrastr_5","specande_3","Bevestigin","Aantalplaa","Infrastr_6","Plaatsenfi","Plaatsen_1","Plaatsenba","Plaatsen_2","Plaatsenbr","Plaatsen_3","Plaatsenel","Plaatsen_4","Plaatsen_5","Plaatsen_6","Plaatsento","Plaatsen_7","Plaatsen_8","Camerabewa","voldoendev","beheerderv","weesfietse","opmerking","schattinga","Mogelijkhe","OpterreinN","Opterreind","Isernoodto","AantalInga","AantalUitg","Energiemet","Milieugeva","Branddetec","Anderetech","Aankondigi","Aankondi_1","Aankondi_2","Parkeerreg","Bordmettar","Signaletic","Signalet_1","Signalet_2","X_WGS84","Y_WGS84"
"105","Point","711","296","0","149087,549 m","170495,705 m","138","Bru.-Cent.","296","10010002005","0"," ","Madeleine f1","Madeleine","-1","-1","0"," ","NMBS"," ","Oui","Derde","Fietspunt","Lokaal in gebouw"," ","Stationsgebouw"," ","0","Beton"," "," ","Type SNCB"," ","0","0","Bon état","196","0","0","0","0","0","0","0","0","0","196","196","0","-1","-1","Eigen net","0","182+14 Bluebikes","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","4° 21' 16,312"" E","50° 50' 43,481"" N"
"106","Point","712","715","0","149211,267 m","170586,818 m","139","Bru.-Cent.","715","10010002005","0"," ","Putterie f2","Putterie","0","0","0"," ","Stad/Gemeente"," ","Non"," "," ","Openlucht"," ","Onderdoorgang"," ","0","Klinkers"," "," ","Type SNCB"," ","0","0","Goede staat","0","96","0","0","0","0","0","0","0","0","96","96","0","0","-1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","4° 21' 22,635"" E","50° 50' 46,431"" N"
"107","Point","713","302","0","149557,100 m","171362,066 m","140","Bru.-Cong.","302","10010003103","0"," ","Emplacement vélos f1","Voie publique devant Interparking","0","0","0"," "," "," "," "," "," ","à l'air libre"," "," "," ","0"," "," "," "," "," ","0","0"," ","0","3","0","0","0","0","0","0","0","0","3","3","0","0","0"," ","0","Parking vélo en voie publique pour 3 vélos.","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","4° 21' 40,309"" E","50° 51' 11,520"" N"
"108","Point","714","704","0","149396,390 m","172114,969 m","141","Bru.-Noord/Nord","704","10250001118","0"," ","Emplacement vélo f2","CCN c``t Bruxelles-Midi","0","0","1","Ratelier SNCB","Derde","CCN","Oui","Point...vélo","Cyclo","Abri couvert","Une partie...l'air libre","Autre","CCN","0","Dalles b'ton"," "," ","Type SNCB"," ","0","0","Bon état","42","0","0","0","0","0","0","0","0","0","42","42","0","0","-1"," ","0"," ","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4° 21' 32,089"" E","50° 51' 35,884"" N"
"109","Point","715","298","0","149366,929 m","172246,798 m","142","Bru.-Noord/Nord","298","10250001118","0"," ","Emplacement vélos f1","CCN c''t Bruxelles","-1","-1","1","Ratelier SNCB","Tiers","CCN","Oui","Point...vélo"," ","Abri couvert"," ","Autre","CCN","0","Dalles b'ton"," "," ","Type SNCB"," ","0","0","à surveiller","165","0","0","0","0","0","0","0","0","0","165","165","0","0","-1"," ","0"," ","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4° 21' 30,582"" E","50° 51' 40,150"" N"
"110","Point","751","300","0","146629,688 m","170955,225 m","178","Bru.-West/Ouest","300","10280006012","0"," ","Fietsenstalling f1","Stationsplein Ninoofsesteenweg","0","0","0"," ","Stad/Gemeente"," "," ","Stad/Gemeente"," ","Overdekt (luifel)"," ","Stationsgebouw"," ","0","Andere","Blauwsteen tegels"," ","Andere","Metalen Beugels","0","0","Goede staat","0","10","0","0","0","0","0","0","0","0","10","10","0","0","-1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 19' 10,666"" E","50° 50' 58,319"" N"
"111","Point","752","737","0","146630,793 m","170895,072 m","179","Bru.-West/Ouest","737","10280006012","0"," ","Fietsenstalling f2","Ninoofsesteenweg (Overkant vh Station)","0","0","0"," ","Stad/Gemeente"," "," ","Stad/Gemeente"," ","Overdekt (luifel)"," ","Standaardtype 1 (boog)"," ","0","Klinkers"," "," ","Andere","Metalen Beugels","0","0","Goede staat","30","0","0","0","0","0","0","0","0","0","30","30","0","0","-1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 19' 10,724"" E","50° 50' 56,373"" N"
"112","Point","761","711","0","147836,327 m","169515,505 m","188","Bru.-Midi/Zuid","711","10960001150","0"," ","Emplacement vélos f3","Entre rue d'Angleterre","0","0","1","omheining","SNCB"," ","Non"," "," ","Abri couvert"," ","Autre","Auvent gare","0","Autre","Pierre naturelle"," ","Autre","Arceau","0","0","Bon état","20","0","0","0","0","0","0","0","0","0","20","20","0","0","-1","Propre roseau","0"," ","0"," ","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","4° 20' 12,378"" E","50° 50' 11,749"" N"
"113","Point","762","712","0","147678,227 m","169672,357 m","189","Bru.-Midi/Zuid","712","10960001150","0"," ","Emplacement vélos f4","Place Horta","0","0","1","omheining","Ville/Commune"," ","Non","Ville/Commune","Villo","à l'air libre"," "," "," ","0","Autre","Pavé"," ","Autre","Villo","0","0","Bon état","0","42","0","0","0","0","0","0","0","0","42","42","0","0","-1","roseau de ville","0"," ","0"," ","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","4° 20' 4,295"" E","50° 50' 16,823"" N"
"114","Point","763","716","0","147683,497 m","169692,050 m","190","Bru.-Midi/Zuid","716","10960001150","0"," ","Emplacement vélos f2","Esplanade de l'Europe","0","0","1","omheining","Ville/Commune"," ","Non","Ville/Commune"," ","à l'air libre"," ","Autre","Sous les voies","0","Dalles b'ton"," "," ","Type SNCB"," ","0","0","Bon état","38","0","0","0","0","0","0","0","0","0","38","38","0","0","-1","Propre roseau","0"," ","0"," ","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","4° 20' 4,563"" E","50° 50' 17,460"" N"
"115","Point","764","713","0","147516,313 m","169421,616 m","191","Bru.-Midi/Zuid","713","10960001150","0"," ","Emplacement vélos f5","Rue de France","-1","-1","1","omheining","SNCB"," "," ","Point...vélo"," ","Abri couvert"," ","Bâtiment de la gare"," ","0","Klinkers"," "," ","Type SNCB"," ","0","0","Bon état","156","0","0","0","0","0","0","0","0","0","156","156","0","-1","-1","Propre roseau","0"," ","0"," ","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","4° 19' 56,026"" E","50° 50' 8,706"" N"
"116","Point","765","301","0","147806,267 m","169474,108 m","192","Bru.-Midi/Zuid","301","10960001150","0"," ","Emplacement vélos f1","Couloir principale Fonsny","-1","0","1","omheining","SNCB"," ","Non","Tiers","Blue Bike","Autre"," ","Bâtiment de la gare"," ","0","Autre","Carrelages"," ","Type SNCB"," ","0","0","Bon état","14","0","0","0","0","0","0","0","0","0","14","14","0","0","-1","Propre roseau","0"," ","0"," ","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","4° 20' 10,842"" E","50° 50' 10,409"" N"
"117","Point","795","304","0","150856,042 m","170317,229 m","222","Bru.-Schuman","304","11610006101","0"," ","Emplacement vélos f1","Berlaymont","0","0","0"," ","Stad/Gemeente"," "," "," "," "," "," "," "," ","0"," "," "," "," "," ","0","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","0","Pas de parking SNCB. 39 arceaux pour environ 80...120 vélos.","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4° 22' 46,706"" E","50° 50' 37,706"" N"
"118","Point","796","1074","0","151060,115 m","170281,448 m","223","Bru.-Schuman","1074","11610006101","0"," ","Fietsenstalling f2","Archimedes","0","0","0"," ","Stad/Gemeente"," "," "," "," "," "," "," "," ","0"," "," "," "," "," ","0","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","0","Geen parking NMBS. 11 arceaux pour environ 25...50 vélos.","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4° 22' 57,136"" E","50° 50' 36,547"" N"
"119","Point","797","303","0","150296,504 m","169758,679 m","224","Bru.-Luxembg","303","11610007011","0"," ","Emplacement vélos f1","Entre principale","0","0","1","Ratelier SNCB","SNCB"," ","Oui","Point...vélo"," ","Abri couvert"," ","Bâtiment de la gare"," ","0","Dalles b'ton"," "," ","Type SNCB"," ","0","0","Bon état","120","0","0","0","0","0","0","0","0","0","120","120","0","-1","-1"," ","0"," ","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4° 22' 18,105"" E","50° 50' 19,633"" N"
"120","Point","798","707","0","150346,326 m","169713,017 m","225","Bru.-Luxembg","707","11610007011","0"," ","Emplacement vélos f3","Sur la dalle du parlement","0","0","1","Ratelier SNCB","SNCB"," ","Oui","Point...vélo"," ","Abri couvert"," ","Plaques transparentes"," ","0","Dalles b'ton"," "," ","Type SNCB"," ","0","0","Bon état","96","0","0","0","0","0","0","0","0","0","96","96","0","0","0"," ","0"," ","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4° 22' 20,651"" E","50° 50' 18,155"" N"
"121","Point","799","706","0","150302,433 m","169760,239 m","226","Bru.-Luxembg","706","11610007011","0"," ","Emplacement vélos f2","Entre de la gare","-1","-1","1","Ratelier SNCB","SNCB"," ","Oui","Point...vélo"," ","Local"," ","Bâtiment de la gare"," ","0","Autre","Pierre naturelle"," ","Type SNCB"," ","0","0","Bon état","54","0","0","0","0","0","0","0","0","0","54","54","0","-1","-1"," ","0"," ","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4° 22' 18,408"" E","50° 50' 19,683"" N"
"122","Point","817","526","0","234391,448 m","148420,482 m","244","Liège-Carré","526","40340001801","0"," ","Emplacement vélos f1","cote quai 1 rue Pouplin","0","0","0"," ","SNCB"," ","Non"," "," ","à l'air libre"," "," "," ","0","Dalles b'ton"," ","5","Type SNCB"," ","0","0","Bon état","0","6","0","0","0","0","0","0","0","0","6","6","0","0","-1","Propre roseau","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","5° 33' 38,048"" E","50° 38' 27,139"" N"
"123","Point","818","527","0","234941,573 m","149103,432 m","245","Liège-Saint-Lambert","527","40340002702","0"," ","Emplacement vélos f1","Parking cadran rue fond St Servais","0","0","0"," ","SNCB"," ","Non","SNCB"," ","Places couvertes"," ","Type Standard 1 (arc)"," ","0","b'ton"," "," ","Type SNCB"," ","0","0","Inconnu","12","0","0","0","0","0","0","0","0","0","12","12","0","0","0","Inconnu","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","5° 34' 6,604"" E","50° 38' 48,952"" N"
"124","Point","830","1053","0","234906,459 m","146642,083 m","257","Liège-guillemins","1053","40360099780","0"," ","Emplacement vélos f3","a c``t des taxis","0","0","0"," "," "," "," "," "," ","Abri couvert"," ","Type Standard 1 (arc)"," ","0","b'ton"," "," ","Type SNCB"," ","0","0","Bon état","126","0","0","0","20","0","0","0","0","0","146","126","20","0","-1","Propre roseau","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","5° 34' 2,793"" E","50° 37' 29,324"" N"
"125","Point","851","483","0","268022,074 m","148487,467 m","278","Eupen","483","40490005201","0"," ","Emplacement vélos f1","bahnofstrasse","0","0","0","Bâtiment","SNCB"," ","Nee","SNCB"," ","Parking exterieur"," ","Type Standard 1 (arc)"," ","0","b'ton"," ","4","Type SNCB"," ","0","0","Bon état","12","0","0","0","0","0","0","0","0","0","12","12","0","0","-1","Propre roseau","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","6° 2' 9,259"" E","50° 38' 8,336"" N"
"126","Point","852","1093","0","268120,026 m","148483,918 m","279","Eupen","1093","40490005201","0"," ","Emplacement vélos f2","sur quai 2","0","0","0","Clôture","SNCB"," "," ","sncb"," ","Abri couvert"," ","Type Standard 1 (arc)"," ","0","Dalles b'ton"," ","4","Type SNCB"," ","0","0","Bon état","12","0","0","0","0","0","0","0","0","0","12","12","0","0","0"," ","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","6° 2' 14,238"" E","50° 38' 8,150"" N"
"127","Point","899","587","0","166721,014 m","156217,079 m","326","Wavre","587","41390023002","0"," ","Emplacement vélos f1","N/A 1577 - DERRIERE GARE","0","0","0"," ","SNCB"," ","Nee","SNCB"," ","Places couvertes"," ","Propre toit"," ","0","b'ton"," "," ","Type SNCB"," ","0","0","à surveiller","24","0","0","0","0","0","0","0","0","0","24","24","0","0","0"," ","0"," ","0"," ","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 36' 15,302"" E","50° 43' 0,538"" N"
"128","Point","931","497","0","172789,700 m","140051,333 m","358","Gembloux","497","41610043301","0"," ","Emplacement vélos f1","c``t parking P2 (gare) - couvert - sécurisé","1","1","1","structure metalique","SNCB"," ","Oui","Point...vélo"," ","Places couvertes"," ","Propre toit"," ","0","Klinkers"," "," ","Type SNCB"," ","1","10","Très bon","72","0","0","0","10","0","0","0","0","0","82","72","10","0","-1","Eclairage propre","0","projet gembloux: \nsecurisé, 13 simples + 6 doubles total 150 \nnon sécurisé : \n21 simples + 10 doubles total 246","0"," ","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 41' 21,079"" E","50° 34' 16,632"" N"
"129","Point","932","806","0","172775,028 m","140052,667 m","359","Gembloux","806","41610043301","0"," ","Emplacement vélos f6","c``t parking P2 (gare) - box","1","0","1","structure metalique","SNCB"," ","Non","Ville/Commune"," ","Autre"," ","Safe-Bike box"," ","0","Autre"," "," "," "," ","1","10","Très bon","5","0","0","0","0","0","0","0","0","0","5","5","0","0","0"," ","0","projet gembloux: \nsecurisé, 13 simples + 6 doubles total 150 \nnon sécurisé : \n21 simples + 10 doubles total 246","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 41' 20,333"" E","50° 34' 16,677"" N"
"130","Point","933","805","0","172819,046 m","140017,986 m","360","Gembloux","805","41610043301","0"," ","Emplacement vélos f5","c``t parking P2 (gare) esplanade - non couvert - Bluebike","0","0","1","structure metalique","SNCB"," ","Oui","Point...vélo","Blue bike","Parking exterieur"," "," "," ","0","Klinkers"," "," ","Type SNCB"," ","1","10","Très bon","0","12","0","0","0","0","0","0","0","0","12","12","0","0","0"," ","0","ex-Blue Bike \nprojet gembloux: \nsecurisé, 13 simples + 6 doubles total 150 \nnon sécurisé : \n21 simples + 10 doubles total 246","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 41' 22,562"" E","50° 34' 15,549"" N"
"131","Point","934","804","0","172791,812 m","140053,000 m","361","Gembloux","804","41610043301","0"," ","Emplacement vélos f4","c``t parking P2 (gare) - couvert - non sécurisé","0","0","1","structure metalique","SNCB"," ","Oui","Point...vélo"," ","Places couvertes"," ","Propre toit"," ","0","Klinkers"," "," ","Type SNCB"," ","1","10","Très bon","120","0","0","0","0","0","0","0","0","0","120","120","0","0","-1","Propre roseau","0","projet gembloux: \nsecurisé, 13 simples + 6 doubles total 150 \nnon sécurisé : \n21 simples + 10 doubles total 246","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 41' 21,186"" E","50° 34' 16,686"" N"
"132","Point","935","802","0","172879,628 m","140048,999 m","362","Gembloux","802","41610043301","0"," ","Emplacement vélos f2","c``t parking P1 (Ch. de Wavre) - couverts","0","0","1","structure metalique","SNCB"," ","Oui","Point...vélo"," ","Places couvertes"," ","Propre toit"," ","0","Dalles b'ton"," "," ","Type SNCB"," ","1","10","Bon état","12","0","0","0","0","0","0","0","0","0","12","12","0","1","-1","Eclairage propre","0","projet gembloux: \nsecurisé, 13 simples + 6 doubles total 150 \nnon sécurisé : \n21 simples + 10 doubles total 246","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 41' 25,648"" E","50° 34' 16,544"" N"
"133","Point","936","803","0","172896,190 m","140028,323 m","363","Gembloux","803","41610043301","0"," ","Emplacement vélos f3","c``t parking P1 (Ch. de Wavre) - non couverts","0","0","1","structure metalique","SNCB"," ","Oui","Point...vélo"," ","Parking exterieur"," ","En dessous d'un escalator"," ","0","Klinkers"," "," ","Type SNCB"," ","1","10","Très bon","0","6","0","0","0","0","0","0","0","0","6","6","0","0","0","Eclairage propre","0","projet gembloux: \nsecurisé, 13 simples + 6 doubles total 150 \nnon sécurisé : \n21 simples + 10 doubles total 246","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 41' 26,485"" E","50° 34' 15,872"" N"
"134","Point","941","1082","0","185003,335 m","128749,752 m","368","Namur","1082","41610061502","0"," ","Emplacement vélos f5","devant la gare, provélo et office tourisme","0","0","0"," ","SNCB"," ","Oui","Ville/Commune"," ","à l'air libre"," "," "," ","0","Dalles b'ton"," "," ","Autre","U inversé","0","0","Bon état","0","26","0","0","0","0","0","0","0","0","0","0","0","0","-1","roseau de ville","0","13 U inversés, 10 devant pro-vélos et 3 devant office du tourisme","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 51' 37,922"" E","50° 28' 8,707"" N"
"135","Point","942","1083","0","185017,230 m","128751,531 m","369","Namur","1083","41610061502","0"," ","Emplacement vélos f6","devant local pro-vélos","0","0","0"," ","SNCB"," ","Oui","Point...vélo"," ","à l'air libre"," "," "," ","0","Dalles b'ton"," "," ","Type SNCB","rètelier blue bike","0","0","Bon état","0","6","0","0","0","0","0","0","0","0","0","0","0","0","-1","roseau de ville","0","1 rètelier blue bike","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 51' 38,628"" E","50° 28' 8,762"" N"
"136","Point","943","829","0","185193,972 m","128901,928 m","370","Namur","829","41610061502","0"," ","Emplacement vélos f2","Parking CAP NORD","0","0","0"," ","SNCB"," ","Oui","Point...vélo"," ","Parking exterieur"," "," "," ","0","Asphalte"," "," ","Type SNCB"," ","0","0","Bon état","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","Eclairage propre","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 51' 47,641"" E","50° 28' 13,591"" N"
"137","Point","944","1062","0","185184,412 m","128896,593 m","371","Namur","1062","41610061502","0"," ","parking motos dans P1","parking P1 niveau -3 SPW","-1","-1","0"," ","SNCB"," ","Non","B-Parking (SNCB)"," ","Abri couvert"," "," "," ","0"," "," "," "," "," ","0","0"," ","0","0","0","0","10","0","0","0","6","0","0","0","16","0","-1","Propre roseau","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 51' 47,154"" E","50° 28' 13,420"" N"
"138","Point","945","1079","0","185091,428 m","128738,303 m","372","Namur","1079","41610061502","0"," ","Emplacement vélos f3","place de la station","0","0","0"," ","SNCB"," ","Oui","Point...vélo"," ","Autre","safe bike box","Safe-Bike box"," ","0","Dalles b'ton"," "," ","Autre"," ","0","0","Bon état","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","0","place de la station entre les taxis","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4° 51' 42,386"" E","50° 28' 8,318"" N"
"139","Point","974","449","0","254026,036 m","41970,068 m","401","Arlon","449","41620197540","0"," ","Emplacement vélos f1","Gauche BV sous marquise","0","0","0"," ","SNCB"," ","Nee","SNCB"," ","Places couvertes"," ","Marquise","marquise du BV","0"," "," "," "," "," ","1","8","Bon état","18","0","0","0","0","4","0","0","0","0","22","18","4","0","0","Eclairage propre","0"," ","0"," ","0","0","1","3","0","0","0","0","0","1","0","0","1","0","1","0","1","5° 48' 31,960"" E","49° 40' 51,156"" N"
"140","Point","975","1050","0","254059,144 m","41947,215 m","402","Arlon","1050","41620197540","0"," ","Emplacement vélos f3","Parking P1...gauche du BV","0","0","0"," ","SNCB"," ","Non","B-Parking (SNCB)"," ","Abri couvert"," ","Type Standard 1 (arc)"," ","0","Dalles b'ton"," "," ","Type SNCB"," ","1","8","Bon état","12","0","0","0","4","0","0","0","0","0","16","12","4","0","0"," ","0"," ","0"," ","0","0","0","3","0","0","0","0","0","1","0","0","1","0","1","0","1","5° 48' 33,588"" E","49° 40' 50,395"" N"
"141","Point","976","822","0","253967,198 m","41916,968 m","403","Arlon","822","41620197540","0"," ","Emplacement vélos f2","parking P2 - sortie CSV","0","0","0"," ","SNCB"," ","Nee","SNCB"," ","Places couvertes"," ","Propre toit"," ","0"," "," "," ","Type SNCB"," ","1","8","Bon état","6","0","0","0","4","0","0","0","0","0","10","6","4","0","0","Eclairage propre","0"," ","0"," ","0","0","0","3","0","0","0","0","0","1","0","0","1","0","1","0","1","5° 48' 28,974"" E","49° 40' 49,474"" N"